pca_components,alpha,umap_n_components,umap_n_neighbors,min_cluster_size,min_samples,cluster_selection_method,n_clusters,n_outliers,outlier_pct,silhouette_global,min_cluster_silhouette,n_bad_clusters,n_weak_clusters,largest_cluster_pct,davies_bouldin,score,meets_all
60,0.7,25,10,50,20,eom,14,892,25.30496453900709,0.44703441858291626,0.25400183,0,0,22.5531914893617,0.7618577340110069,799.4801738634177,True
70,0.7,25,10,60,20,eom,14,860,24.397163120567374,0.4238440692424774,0.24672307,0,0,22.69503546099291,0.7560025043261627,784.8198890643763,True
60,0.5,30,10,60,20,eom,14,935,26.52482269503546,0.42247653007507324,0.2301324,0,0,12.567375886524824,0.7589833964365076,756.7299606275897,True
50,0.7,20,10,60,20,eom,13,907,25.73049645390071,0.41889849305152893,0.27192461,0,0,22.070921985815602,0.7519774615704601,750.2479550398833,True
50,0.5,25,10,60,20,eom,13,894,25.361702127659573,0.42044755816459656,0.22359854,0,0,16.567375886524825,0.7066671366046597,746.188542726192,True
50,0.7,30,10,60,30,eom,11,938,26.609929078014183,0.44826218485832214,0.33136848,0,0,21.70212765957447,0.7382211791109573,741.8266602306502,True
50,0.7,25,10,60,20,eom,13,922,26.156028368794328,0.4140850901603699,0.23191653,0,0,21.78723404255319,0.7856406038812955,732.7520844877189,True
50,0.7,25,10,50,30,eom,12,895,25.390070921985814,0.42012664675712585,0.24486186,0,0,21.70212765957447,0.6970737565113344,729.8082378358705,True
70,0.5,25,10,60,20,eom,13,948,26.893617021276594,0.4238363802433014,0.20162274,0,0,16.70921985815603,0.7054516686515924,728.3311408961074,True
70,0.5,30,10,60,20,eom,13,951,26.978723404255316,0.4194214940071106,0.1925349,0,1,14.382978723404255,0.7735556190753954,671.162515310531,True
70,0.4,20,10,50,20,eom,12,908,25.758865248226954,0.39205583930015564,0.18160847,0,1,17.4468085106383,0.7397681566935916,635.0300152284879,True
70,0.6,30,10,60,40,eom,5,830,23.54609929078014,0.4236426055431366,0.3436382,0,0,38.12765957446808,0.6775072886776231,633.3631556422998,True
70,0.6,20,10,60,40,eom,5,913,25.900709219858154,0.44141480326652527,0.35699525,0,0,37.53191489361702,0.6264540610706039,627.9060527990896,True
50,0.6,25,15,60,50,eom,5,942,26.72340425531915,0.44334009289741516,0.36262864,0,0,38.97872340425532,0.6340594953489023,621.9083738377753,True
70,0.6,30,15,60,30,eom,5,880,24.9645390070922,0.42311152815818787,0.35150132,0,0,35.43262411347518,0.7045153286964092,618.8018622466013,True
50,0.7,20,15,60,20,eom,12,881,24.99290780141844,0.38531729578971863,0.08513776,0,1,21.19148936170213,0.8612830560854129,617.4228623999771,True
70,0.3,30,10,60,20,eom,12,747,21.19148936170213,0.343070387840271,0.07260056,0,1,20.05673758865248,0.8180674546379053,614.4841165415784,True
70,0.3,25,10,60,20,eom,12,842,23.886524822695034,0.3571813404560089,0.07230141,0,1,20.539007092198585,0.7752980975712204,598.8898494340849,True
70,0.6,20,20,60,30,eom,6,868,24.624113475177307,0.3948233425617218,0.2661409,0,0,35.94326241134752,0.7218473116782359,597.1862759353421,True
60,0.6,20,15,60,30,eom,6,901,25.560283687943265,0.40164560079574585,0.27300215,0,0,34.58156028368794,0.7380247855437175,595.082909763282,True
50,0.3,30,10,60,30,eom,9,822,23.319148936170212,0.37410804629325867,0.18815514,0,1,20.680851063829785,0.7562813730706469,585.2284368859961,True
